"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2009","2011","2013","2015","2017","2019"
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",11,"Rondônia",4.3,4.6,5.1,5.3,5.7,5.5
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",12,"Acre",4.2,4.5,5,5.3,5.7,5.8
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",13,"Amazonas",3.8,4.2,4.5,5,5.3,5.3
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",14,"Roraima",4.2,4.5,4.8,5.1,5.4,5.5
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",15,"Pará",3.6,4,3.8,4.3,4.5,4.7
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",16,"Amapá",3.8,4,3.9,4.3,4.4,4.7
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",17,"Tocantins",4.4,4.8,5,5,5.4,5.5
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",21,"Maranhão",3.7,3.9,3.8,4.4,4.5,4.8
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",22,"Piauí",3.8,4.1,4.1,4.6,5,5.4
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",23,"Ceará",4.1,4.7,5,5.7,6.1,6.3
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",24,"Rio Grande do Norte",3.5,3.8,4,4.4,4.5,4.7
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",25,"Paraíba",3.6,4,4.2,4.5,4.7,5
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",26,"Pernambuco",3.7,3.9,4.1,4.6,4.8,5.1
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",27,"Alagoas",3.4,3.5,3.7,4.3,4.9,5.3
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",28,"Sergipe",3.4,3.6,3.8,4.1,4.3,4.6
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",29,"Bahia",3.5,3.9,3.9,4.4,4.7,4.9
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",31,"Minas Gerais",5.5,5.8,5.9,6.1,6.3,6.3
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",32,"Espírito Santo",4.8,5,5.2,5.5,5.7,5.9
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",33,"Rio de Janeiro",4.4,4.8,4.9,5.2,5.3,5.4
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",35,"São Paulo",5.3,5.4,5.8,6.2,6.5,6.5
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",41,"Paraná",5.3,5.4,5.8,6.1,6.3,6.4
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",42,"Santa Catarina",5.1,5.7,5.9,6.1,6.3,6.3
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",43,"Rio Grande do Sul",4.7,5.1,5.4,5.5,5.6,5.8
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",50,"Mato Grosso do Sul",4.5,5,5,5.3,5.5,5.5
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",51,"Mato Grosso",4.8,4.9,5.2,5.5,5.7,5.7
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",52,"Goiás",4.7,5.1,5.5,5.6,5.9,6
"Educação","TX_INEP_IDEB_AI_UF","Amazônia Legal",53,"Distrito Federal",5.4,5.4,5.6,5.6,6,6.1
