AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,11,Rondônia,8.6,6.8,10.1,11.6,11.3,12.4,12.9,12.3,13.6,13.3,12.4
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,12,Acre,20.8,25.9,29.3,27.7,26.9,30.2,25.4,27.2,24,21.9,22.6
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,13,Amazonas,20.6,23.9,25.9,23.8,23,23.6,21.7,25.2,24.3,24.2,20.7
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,14,Roraima,10.4,16.6,15.2,25.6,24.8,23.9,22.9,27.4,28.5,22.9,16.7
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,15,Pará,13.3,16.7,19.9,19.4,19,21.4,23.2,28.4,28.3,27.2,25.2
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,16,Amapá,4.6,9.8,15.1,14.6,13.9,13.2,12.3,13.5,14.5,14.2,13.2
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,17,Tocantins,23.3,22.7,24,16.4,15.6,16.2,17,15.9,16.3,16.2,15.5
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,21,Maranhão,8.6,10.3,9.8,7,6.5,7.3,9.3,8.1,8.4,8,6.8
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,22,Piauí,11,13,18.1,18,20.3,20.8,23.8,21.4,20.1,21,21.9
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,23,Ceará,14.5,20.6,23.8,26.5,26.3,26.7,26.8,24.9,24.4,25.2,24.2
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,24,Rio Grande do Norte,33.6,42.9,54.4,59.1,57.9,60,61.6,62,62,59.5,57.4
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,25,Paraíba,44.1,55.9,71.1,72.9,70.5,71.6,71.8,69.9,74.3,78.4,74
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,26,Pernambuco,20.1,22.3,29,30.5,30.9,32.1,32.3,31.7,32.5,31.9,31
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,27,Alagoas,10,11.8,17,19.1,19.4,21.6,28.4,24.9,27,26.5,24
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,28,Sergipe,14.2,21.8,32.3,32.3,33.7,41.7,39.9,42.1,44.4,44.3,38.4
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,29,Bahia,11.2,14.6,17.8,18.8,18.4,19.4,19.5,18.6,18.6,18.8,17.6
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,31,Minas Gerais,18.8,24.9,35,39,39.6,42,43.4,42.6,43.3,43.2,41.5
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,32,Espírito Santo,16.1,20,27.6,29.3,28.5,35.3,33.8,31.6,29,31.5,29.9
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,33,Rio de Janeiro,34.3,38.5,46.5,53.6,58.2,60.7,63.4,62,62,60,57.3
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,35,São Paulo,28.5,33,38.5,40.7,43.1,47.7,51,49.6,50.1,49.9,45.8
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,41,Paraná,27.7,38.8,49.7,52.4,54.8,62.7,66.1,66.6,67.5,65.6,63.1
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,42,Santa Catarina,27.4,33.1,40.8,45.6,50.3,55.6,56.2,56.1,55.6,57.2,54.3
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,43,Rio Grande do Sul,43,52.6,62.6,69.7,81.2,91.4,93.8,90.3,86.4,87,85.5
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,50,Mato Grosso do Sul,27.9,28.1,40.9,45.4,52.1,55.9,56.7,52.5,48.7,45.8,45.7
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,51,Mato Grosso,16.6,28.4,32.3,27.4,29.5,32.4,30.4,31.3,34.8,35.8,31.5
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,52,Goiás,13.2,17.9,21.9,26.2,26.1,26.8,26.3,25.9,25.7,27.3,25.8
Ciência e Tecnologia,TX_CAPES_TITULADOS_UF,Amazônia Legal,53,Distrito Federal,38.3,48.8,70.7,78.5,78.3,82.3,82.6,75.6,74.9,75.8,68.3
