AREA,INDICADOR,REGIAO,COD_IBGE,MICROREGIAO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,11,Rondônia,8.7,8.8,8.9,9.2,10.3,10,10,10.7,10.7,12,11.8
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,12,Acre,15.6,18.6,16.5,16.5,16.6,16.2,16.2,16.2,16.2,16.1,16.1
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,13,Amazonas,12,12.2,12.3,12.5,14.2,15.1,15.1,15,15,14.9,15.4
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,14,Roraima,13.9,13.8,14,14,16.9,17.6,17.5,17.6,17.6,17.6,18.1
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,15,Pará,9.9,10,10.7,10.8,13,13.1,13.1,13.4,13.4,13.4,14.2
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,16,Amapá,5,5.6,6.3,6.5,6.5,6.5,6.5,6.5,7.3,7.3,7.3
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,17,Tocantins,15.3,15.9,15.9,15.9,17.4,17.5,17.7,18.9,18.9,19.1,19.1
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,21,Maranhão,13,12.5,12.5,12.5,12.5,11.9,11.8,11.7,11.7,11.8,11.8
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,22,Piauí,19.8,8.9,8.9,8.9,11.5,10.8,10.9,12,12.1,12.1,12.3
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,23,Ceará,15.6,15.7,15.7,15.7,16.6,15.5,15.7,16.2,16,16.1,16.1
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,24,Rio Grande do Norte,16.6,16.6,16.6,16.7,16.1,15.8,15.8,16.2,16.2,16.4,16.7
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,25,Paraíba,10.5,10.4,10.4,10.4,10.7,10.1,10.1,10.7,10.7,10.8,10.8
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,26,Pernambuco,14.8,15.6,15.6,15.6,15.6,15.5,15.4,16.4,15.6,15.8,15.8
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,27,Alagoas,15.6,16.4,16.4,16.4,16.4,16.3,16.3,15.8,15.8,17.2,17.1
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,28,Sergipe,35.9,37.5,37.3,37.3,37.3,37.3,37.8,40.2,40.2,41.5,41.5
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,29,Bahia,11.9,10.6,10.6,10.6,10.9,9.8,10.2,11.2,11.2,11.4,11.4
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,31,Minas Gerais,8.5,9.2,9.2,9.2,9.4,8.4,8.5,10,9.2,9.3,9.4
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,32,Espírito Santo,10.5,11.2,11.2,11.2,11.2,11.1,11.1,12.5,12.3,12.3,12.3
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,33,Rio de Janeiro,28,29.1,29.1,29.1,29.1,27.8,27.8,28.9,28.9,28.9,28.9
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,35,São Paulo,15.6,16.8,16.8,16.7,16.8,15,15,12.7,12.7,12.7,12.7
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,41,Paraná,17.2,17,17,16.9,16.9,16.3,16.3,15.9,15.9,15.9,15.9
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,42,Santa Catarina,6.6,7,7.1,7.1,7.2,6.6,6.6,6.5,6.5,6.6,6.6
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,43,Rio Grande do Sul,8,7.7,7.7,7.7,7.9,7.1,7.1,7.3,7.2,7.4,7.3
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,50,Mato Grosso do Sul,11.2,11.4,11.9,11.9,12.2,12.2,12.3,12.3,12.2,21.7,21.7
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,51,Mato Grosso,7.3,7.6,17.5,17.8,18.5,18.2,18.6,20.1,20.2,11.8,11.9
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,52,Goiás,12.6,13,13,13,13.1,11.8,11.9,13.2,13.2,13.2,13.2
Infraestrutura,TX_CNT_ROD_PAVIMENTADA_UF,Amazônia Legal,53,Distrito Federal,56.5,60.6,60.5,60.5,60.6,57,57,55.5,55.5,55.8,55.9
